[msd = ".*V.*Neg.*Sg3.*"][msd = ".*V.*Sg3.*"]

	Administrative texts –
Bummolárpui dat galgá giela bidjat , muhto 	ii galggašii 	nu gassat ja ritnolas go dán áigge árpu , muhto šallabut , čilge áddjá , gii ieš ii leat gávvedagain gárdon dološ rájes .
Ja dat digaštallan lea dehálaš ja dat 	ii galggašii 	šaddat oainnuid duohkut deike dovddaheapmin ja bealkkašeapmin .
SSG ballá , ahte dán guovtti bargojoavkku oasil badjálas doaimma ulbmilin lea sihkkarastit , ahte Suoma ráđđehus 	ii gárttašii 	ja ahte Suoma stuorradiggi ( eduskunta ) ii beasašii váldit beali sámiid eananvuoigatvuođagažaldagaide vel dálge .
SSG ballá , ahte dán guovtti bargojoavkku oasil badjálas doaimma ulbmilin lea sihkkarastit , ahte Suoma ráđđehus ii gárttašii ja ahte Suoma stuorradiggi ( eduskunta ) 	ii beasašii 	váldit beali sámiid eananvuoigatvuođagažaldagaide vel dálge .
Dat dilli ahte bivdu ja guolásteapmi lea hálbbit olbmuide geat ásset Finnmárkkus lea nu go galgá leat , muhto 	ii sisttisdoallá 	ahte bivdu ja guolásteapmi lea earenoamáš divrras finadeddjiide ja ahte finadeaddjit eai leat bures boahtin .
Dát raporterengeatnegasvuohta 	ii guoská 	máttasámi teáhterii ( Åarjelsaemien Teatere // Sydsamisk teater ) , go dat teáhter ii leat meroštallojuvvon sámi nationálateáhterin .
Ii leat nu álki dan oažžut áddet ahte 	ii galggašii 	doalvvistit muhto vázzit , dadjá gis nuoramus oassálasti , Laila Elisabeth Nystad ( 13 ) gii lei bures váiban .
– Geahččalin čađat smihttat ahte vuoittán , muđui 	ii livččii 	oba veara ge boahtit deike .
Orru leamen NSR ovddasvástádus álgo go Sámis lea juoga nu movt 	ii galggašii 	leat .
Jus ieš dieđát ahte juoga lea nu movt 	ii galggašii 	, de lea dál vuogas áigi juoidá dahkat dainna .
Gunn-Britt Retteris mielas 	ii lea 	várri diktit eamiálbmogiid giellamáhtu mannat duššás .
	Ii galggašii 	badjelmeare báhkka ge , dasa in liiko .
Muhto , dihtet go don baicca ahte čuoikka 	ii lea 	dego eará divrrit ?
Jus dat ii livčče nu áŋgir ovddidit sámi áššiid de 	ii livččii 	mis Sámediggi , sámegiel oahpahus skuvllain ja buot mii mis dál lea .
	Ii galggašii 	leat nu bahkka .
Go stáhtabušeahttaevttohus bođii beavdái , de 	ii lea 	dása evttohuvvon lassi ruhta .
Muhtin gielddain han geavahuvvo beaivválaččat sámegiella lunddolaččat ja dat sáhttá álkidahttit máŋgii duođašteami , ja nu 	ii galggašii 	leat .
Dat 	ii lea 	jallas evttohus , go dan lea álki mihtidit .
Dalle 	ii dárbbašivččii 	oktage ballat ahte šaddá vel garraseappot gilvalit riggodagaid alde .
Oktasaš njuolggadusat Detnui attáše oadjebasvuođa , 	iige dárbbašivččii 	balahit ja bearráigeahččat su gii nuppebealde gáttis čuožžu .
Das ge lea Suoma beale Sámedikki presideanta dadjan hui jorbasit sisdoalu haga , namalassii ahte lea beare árrat loktet ášši ministariid čoahkkimii go 	ii lea 	unnán áigi ráhkkanit ášši .
	Ii lea 	árbmu , vaikke eai njulgestaga mannan vuollebázan .
– Gullet mánát , eai go din váhnemat leat muitalan ahte juovllaid 	ii galgá 	čierastallat go de sáhttá čierastit stálu sehkkii .
Boazodoalloláhka § 44 ja Sievjju-duopmu ( Rt-2000 : 1578 ) aiddostahttá áhte boazodoalloriekti 	ii lea 	dákkár oktasaš riekti , muhto riekta mii gullá juohke sierra siidii ja boazodoallái .
SEmSNu oainnat 	ii galggašii 	gal geavvat , ja jus giella galggaš bissut rikkisin , de mediat galget rahčat gaccaiguin ja bániiguin doalahit bienalašvuođa das .
SEmSLoahpas árvalan ahte mediaásahusain berrešii leat bajit ovddasfástideaddji giellanorbmapolitihkka vuođđun mii mearreda media giela , dalle 	ii šattašii 	nu mo ovttaskas journalista ain gávnnaha .
Muhto doaivumis 	ii šattašii 	nu go Giella- Gáren “ doaivu ” .
Deháleamos áššin šattai raporta maid Sámedikki rehketdoalu dárkkisteaddji lei ráhkadan , ahte dat suođai almmolašvuhtii , nu mo 	ii livččii 	galgan .
– 	Ii livččii 	galgan almmuhuvvot .
Olli lea deattuhan garrasit ahte dieđáhus 	ii lea 	ovdagihtii čana moktege mot ásahusaid boahtte áigi šaddá .
Son deattuha ahte dát kommentára 	ii guoská 	namuhuvvon áššái , muhto čilge mo skuvla bargá .
Politiijat lea dutkan dievddu čilgehusaid dan ija dáhpáhusaid birra go 20-jahkásaš Jiellevári nieida jámii , ja daid vuođul gávnnahan ahte son čilge duođaid 	iige lea 	dahkan vearredagu .
	Iigo livččii 	vejolaš ovttasbargat advokáhtaid haga buohkaide buorrin .
Go son jođii davvin , de rávvii olbmuid ahte 	ii galggašii 	seaguhit guovlluid hearvvaid eará guovllu hearvvaiguin .
– Mii eat ane dan ášši ággan ahte Sara 	ii galggašii 	dohkket jođihit NBR , vaikke leimmet gáibidan dán stuorra dehálaš áššis NBR botket šiehtadallamiid .
– Nuba evttohat njuolga giellaruđaid juolludit giellaguovddážiidda , amas ruhta 	ii manašii 	gieldda bokte , go dat ii oro geavaheamen dáid riekta , loahpaheaba soai .
– Jus dát ballu livčče Kárášjoga festivála bealis albma ballu , de han gal livčče várren min lágideapmái ruđa , muhto dat 	ii lea 	dahkkon dan jagi ge , lohká Aslaksen .
– Sámi mánáidgárdi 	ii galggašii 	dušše leat daidda mánáide geat ásset Oslo gávpogis , muhto maid mánáide geat ásset Oslo olggobealde , oaivvilda son .
Son lohká Trine ( 6 ) , gii dál álgá skuvlii , galgá stuorraoappá Kristine ( 11 ) čuovvut skuvlii , jus 	ii lea 	vejolaš , de doalvu son mánáid skuvlii , go ii oskkil guđa-jahkásačča okto mannat .
Jus Árrana mánáidgárdi 	ii livččii 	viiddiduvvon , de livččii Emil Johan šaddat álgit dárogielat mánáidgárdái .
Vai 	ii galgá 	láittasin šaddat , de ferte oktavuohta lávddi ja gehččiid gaskas šaddat .
Dakkár hytta 	ii livččii 	dušše min searvái ávkin , muhto buohkaide geat liikojit luonddus vánddardit , lohká Andersen vel .
Jus Muosáid gieldda sátnejođiheaddji ii lean ráhkadit rieja , ja ášši 	ii livččii 	šaddan stuora mediastoarbman de livččii áhčešguovttos Marit ja Mikkel Kemi čađahan iežaska áigumušaid .
Seim diehtá ahte dávjá oahppit válljejit eret oahpahusa jus 	ii lea 	unohis áigái biddjon .
– Ii leat riekta diehtu ahte Juovlavuona boarrásiidguovddážis 	ii lea 	sámegiella nu ovdánan ahte diehtojuohkin čállo sámegillii diehtojuohkintávvalii , mieđiha Aslaksen .
Nu guhká go Ofelaččat ožžot 150.000 ruvnno stipeandan oahpu ovddas , iige bálkán barggu ovddas , de 	ii guoská 	bargobirasláhka Ofelaččaide .
– 	Ii guoská 	
Jus 	ii livččii 	Helgeland Sparebank leamaš mielde ruhtadeami Mari Boine professorvirggi mii lea oasseáigebargu guovtti jahkái , de ii livččii Nesna allaskuvllas dása .
Jus ii livččii Helgeland Sparebank leamaš mielde ruhtadeami Mari Boine professorvirggi mii lea oasseáigebargu guovtti jahkái , de 	ii livččii 	Nesna allaskuvllas dása .
	Ii galggašii 	dárbu
– 	Ii galggašii 	leahkit dárbu dakkár njuolggadusaide , muhto lea buorre go bohtet .
Su mielas 	ii galggašii 	Suomenrinne gávpi ollege bidjat Norgga ruvnnot hattiid go eai dattetge čuovo daid .
– 	Ii galggašii 	Norgga hattiid ba bidjat ge , mieđiha dát gávpejas Ari Naapanki , gii ii loga sin bidjat ollege Norgga hattiid , go olles beaivi manná hattiid rievdadit beaivvi kurssa mielde .
Eira 	ii ii 	loga diehtit manne loattat eai leat vel vuorbáduvvon .
Earret eará 	ii lea 	mu mielas riekta sirdit NRK Sámi Radio Sámedikki vuollái , dadjá Eliassen .
Ja manne 	ii galggašii 	Sámediggi oažžut nammadan válddi sámi ásahusaid stivrii , dajai Trosten earret eará .
Aili Keskitalo mielas 	ii lea 	šállošahtti ahte áššái lea šaddan gudni deháleabbo go gulahallat ásahusaiguin maidda dat guoská .
Jus soames giellaprošeakta livččii ožžon doarjaga de 	ii livččii 	nu bahá , muhto go ii oktage giellaprošeakta ožžon ruđa , de lea vahát .
Professora Koskisa mielde hoavda galgá Suoma rievtti mielde reageret dalán badjeláiggefriija doallamii , jus hoavdda mielas 	ii lea 	dohkálaš doallat friijabeivviid .
Solbakken-Härkönen dadjá ahte sosiála- ja Dearvvašvuođadirektoráhta seniorráđđeaddi Ole Mathis Hætta čujuha dasa ahte 	ii mávssašii 	olus eambbo jus ovdamearkka dihte sámegielat bargit ožžot buhtadusa dulkoma ovddas .
Njuolggadusaid ektui livččii son ferten jagi 2003 divvut náveha 3 , 5 miljuvnna ovddas , muhto dienastusa ektui 	ii livččii 	lean dat doarvái gánnehahtti .
Goitge 	ii liiko 	son dasa .
Lei gierdat veahá albma čuojanasaid searvái vai jietnagova 	ii livččii 	nu veahtas .
– Mun gal dutken ovdalgihtii makkár dáhkádusat fitnodagas leat ja makkár vejolašvuođat lea moaitit jus 	ii lea 	dohkálaš bátnedikšu .
Dat mii 	ii geavvá 	báikkálaččat , dat ii dáhpáhuva obage , oaivvilda Rávdná , ja hástala searvegottiid álggahit nuoraidbarggu .
– Mun sávan ahte sámi lávlunvuohki 	ii jávkkašii 	Sámis .
Ahte oahpis 	ii galggašii 	šaddat amasin , sávvá Holmestrand .
Joavku lea válljejuvvon ovddastit Korsikalaš guovllu mii lea gaskamearas Eurohpás , 	iige lea 	gilvvu čađa beassan Liet Lávlut gilvui .
– Vaikko vel lea ávkkálaš bárgu , de 	ii galggašii 	dárbbašlaš jus beare juohkehaš juohke sajis heaitá nuoskideames , lasiha okta eará dáin doaimmalaš nuorain .
– Orru ártet ahte dát olmmoš 	ii lea 	ožžon vástádusaid ohcamušaide .
Dat 1,4 mill. 	ii guoská 	buhtadusortnegii .
– Jos leš nu ahte stáhtaministtar ii lohpit liige ruđaid Porsáŋggu gildii , de 	ii ádde 	son min dili .
Golleroggiid lihtu ságajođiheaddji Jouko Korhonen finastii hállamin gieskat bargojoavkku ovddasteaddjin Helssegis ovdalgo gulaskuddanáigi nohká , vai sin ealáhus , golleroggan , 	ii nogašii 	, maid ođđa ruvkeláhka mielddisbuvttášii .
Micael Larsson lohka sii leat ožžon stuora prošeavtta Stockholmas muhto dat ii álgge ovdal go guovva- // njukčamánus Eat leat ožžon dieđu ahte prošeavttas 	ii šaddá 	mihkkege ja dal lea reantu oalle vuollin lohká Micael Larsson .
Son vulggii gollefatnasiin vánddardit , ja go ollii iežas boares ruoktobáikái , su áhčči muitala ahte vieljat leaba gottáhallan , ja ahte sus 	ii lea 	eambbo okta bárdni šat .
Eará sániiguin 	ii bázášii 	olus sámi dáidagis ja kultuvrras Ovddádusbellodaga stivrejumi vuolde .
Heatta muitala maid ahte oassalastta dan dihte go juoigán 	ii galggašii 	nohkat Grand Prixas .
Anta romana 	ii livččii 	várra čállojuvvot jus Labba ii lean oažžut 8.000 ruvnno stipeandda Kungafondenis .
Jus dát 	ii dahko 	, de ii noga veahkaválddálašvuohta ja álbmot Gaza guovllus šaddet guhkkit gillát .
Intrigue Kai Somby návddašii nannosit iežas dološ « idolaid » Deep Purple:a mannan lávvardaga Leavnnjas – Intrigue 	ii livččii 	lean dat seamma dán garra rockmusihka joavkku haga , dovddasta Sámi beakkán rockár .
Son lohká oaidnán joavkku ovdal máŋgii ja dovddasta ahte Intrigue musihkka 	ii livččii 	sihkkarit dat seamma Deep Purple haga .
Seammás fákte ahte 	iigo joavddašii 	dat rievttes dulka áiggil .
– Ii gánnet šlivget menddo fávlái , go guolli 	ii vuodjá 	rávnnjis dušše gáddeguora .
Karen Iŋggá mielas 	ii galggašii 	dárbbašit rahčat ná , go olbmos fertejit leat resurssat doarrut eisseválddiid vuostá , cuiggoda son .
Sápp ` Issát 	ii livččii 	goassege dohkkehan diekkár politihka , ja livččii riidalan gitta maŋemus beaivái .
Sápp ` Issát 	ii livččii 	goassege dohkkehan diekkár politihka , ja livččii riidalan gitta maŋemus beaivái
– 	Ii lea 	álki ipmirdit manne sii eai sáhte seaguhit iežaset , jurddaš , dáppe han lea EU váldoguovddáš ja galggašii leahkit ovdagovvan eará riikkaide movt soabadit , imašta Laila .
Dan listta oktavuođas Nuortaguovllu biirres mas lea leamaš sáhka , 	ii váikkuhivččii 	guoskevaš evttohasa vejolaš válljehahttivuohta ii kandidáhtanammadeapmái ( láhkaásahusa §69 ) ii ge válgabohtosii ( láhkaásahusa §77 ) , go lista muđui lea fámus ja dohkkehuvvon .
Dat lea áibbas ođđa meassu ja dan 	ii galgá 	seaguhit risttalaš allameassu beivviin Mihkalmasain .
Dál 	ii váillošii 	eará go ruhta , de beassat boahtit johtui bálkkašumi plánemiin .
Vuorbádeamis mannan bearjadaga 	ii lea 	dát eará go leaika .
Muhto mii maiddái fertet geahččat mo 	ii galggašii 	geavahit luonddu , nu go dál leat máŋggas geat vudjet skohteriin dušše duššáš ja dan mii fertetge geahččalit gáhttet ahte nu dahkko , dadjá Thomas Hansen , gii lea okta Luonddu Nuoraid álggaheddjiin .
	Ii lea 	ávki dušše sámegillii cuiggodit maid juo leat gullan dárogillii ovdal .
Dan olis ferte mieđihit ahte nuppi Ovddádusbellodaga sámepolitihkkaris Aud Martinsenis 	ii lea 	jurdda endorii , go oaivvilda ahte buohkain geat ásset sámi suohkaniin galggašii leat riekti jienastit Sámediggái .
	Ii lea 	danne go lea šaddan buorredáhtolašvuohta , muhto danne go ođđaáigásaš teknologiija rusttegat leat dahkan dan vejolažžan .
Jus goassege ovdal 	ii lea 	presideanta Olli ja várrepresideanta Balto bargan Bb mearrádusaid vuostá , dan aŋkke leat dál .
Dát lea issoras viiddis váttisvuohta ja danne 	ii berrešii 	dát leat eaŋkal gieldda ovddasvástádus .
Jus doppe galggašii juohkigoahtit dálveorohagaid dološ máttuid geavaheami vuođul , de das 	ii boađášii 	ii mihkkege eará go moivi .
Muhto olu dás ii eai beasa sámit ja eará davveguovlluid ássit ávkkástallat ruđalaččat , go dilli 	ii láhčo 	dasa .
Danne 	ii berrešii 	Sámedikki goasse dohkkehit ahte sámi vuođđoealáhusaide oaččo beare oaffaruššet industriijabargosajiid ovdii go dain ealáhusain ii leat árvu .
Dat baicce sáhttá váikkuhit ahte miessevuovdin 	ii dahkkošii 	ovdal skábman , go dainna dinet buoremusaid .
Danne vuordit ahte dáid beliid váldet vuhtii go ásahit sámegielat heahteveahki 112:i vai 	ii šaddá 	dušše dakkár eahpesihkkaris oadjebasvuohta , jus de goasse čuožžila dakkár heahtedilli ahte vástideaddji ii nagot dáid beliid dustet .
Leat sii geaidda dávda sáhttá leat váralaš geat leat vuosttamužžan ožžon boahku , muhto dát bargu 	ii lea 	nohkan vuos .
Dat 	ii guoská 	dušše Kárášjoga gildii , muhto juohke áidna gildii Norggas .
Dalle 	ii lea 	oalle vuogas , nugo muhtin luossaberošteaddjit čuoččuhit , ahte dutkiid bohtosat ja váruhusat leat dušše cukcasat .
Boares girjjiid oastin livčče ortnegis jus dat 	ii boađášii 	ođđa oahpponeavvuid ovdii .
Sáhka 	ii lea 	nappo rievttis man stáhtat sáhttet addit eamiálbmogiin , muhto mii álo leamaš eamiálbmogiin , vaikko stáhtat eai lean dovddastan dan rievtti .
Tydal suohkan Lulli-Trøndelagas eai leat eará go priváhta oamastuvvon eatnamat , ja nu 	ii guoská 	SRU II evttohus njuolga hálddašeapmái eatnamiidda mat leat suohkanrájiid siste .
Bargiidbellodagas Ávjovári válgabiirres lei ođđa nammadančoahkkin , go guovddáš Bargiidbellodat 	ii lea 	dohkkehan sohkabeali dihte .
Muhto su mielas 	ii galggašii 	nu šaddat ahte priváhtaolbmot galget dárbbašit čorget soađeáiggi bázahusaid .
– Stuorámus hástalus lea ahte sámi eanageavahanguovllut gáhttejuvvojit ja sámi guovllu geavaheapmái 	ii bidjo 	makkárge deaddu .
Ná 	ii livččii 	galgan dáhpáhuvvat ja doaivvun ahte ná ii dáhpáhuvašii , lohká NAV Finnmárkku direktevra , Runar Hartvigsen .
Ná ii livččii galgan dáhpáhuvvat ja doaivvun ahte ná 	ii dáhpáhuvašii 	, lohká NAV Finnmárkku direktevra , Runar Hartvigsen .
Sivvan manne Heiafestivála 	ii lea 	ovdal ožžon ruhtadoarjaga Sámedikkis lea go festivála ii raža ekonomalaččat .
– Dá lea hirbmat buorre evttohus , lohká sátnejođiheaddji , muhto son 	ii duostá 	lohpidit ruđalaš veahki , dan dihte go Romssa suohkan ráhčča ekonomalaččat nugo juohke eará suohkan dán váttis finánsaroasu dilis .
Die lea njuolga vástádus Inga moaitámušaide ahte 	ii livččii 	boahtit jus lei diehtit dan .
– Álbmot 	ii berrešii 	diktit ášši mannat ná , go mánás leat rievttit mat eai leat vuhtii váldon mánáidsuodjalusa bealis , go mánás lea vuoigatvuohta bajásgessot sámi birrasis ja danin galggašii digaštallan dás čuožžilit .
Son livččii duđavaš ruovttuin jus guohpahádja 	ii váivvidivččii 	
Iđut lágádusa beaivválaš jođiheaddji Åge Persen oaivvilda ahte 	ii lea 	doarvái ruhta maid Sámediggi lea juolludan oahpponeavvuide .
Sápmelaččat leat okta guovtti álbmogis Norggas ja jus litteratuvra doallá dási , de ii leat mihkkege sivaid ahte 	ii galggašii 	geasuhit olggobeale Sámi .
Vaikko vel 	ii livččiige 	fárren , de ii livččii vuolgán fas Sámediggái ovttaskasáirrasin .
Vaikko vel ii livččiige fárren , de 	ii livččii 	vuolgán fas Sámediggái ovttaskasáirrasin .
– 	Ii oččošii 	čuohppat mehciid jalgadin
Diekkáraš buori ođđasa váldit mii vuosttá rabas gieđaid , lohká Sara , muhto goitge son 	ii duostá 	illudit ovdal go oaidná dáhtu , danin go dakkáraš sániid lea son ovdal gullan ja ii mihkkege dáhkko .
Su mielas 	ii livččii 	leamaš mihkke váttisvuođaid ahte Johan Petter Røssvoll , guhte lei mielde Sámi Vuoigatvuođalávdegottis , galggai leahkit mielde meannudeami ášši guovllustivrras .
Dákkáraš skuvlafálaldat ii gávdno davábealde Lofuohta dál ja 	ii šattašii 	gilvaleaddjin makkárge almmolaš skuvlii , lohká Vera Lysklætt .
Lea dieđusge čielggas go eanajuohkinriekti 	ii sáhttá 	fállat dárbbašlaš bálvalusa sámegielas ja - kultuvrras , de eai hálit olbmot loktet ášši justa dan dihtii go dat eai váldojuvvo vuhtii ja go ii gávdno diehtojuohkin sámegillii , lohká Ravna .
Katinka ii hálit guođđit giláža go son 	ii duostá 	vuolgit amas guovlluide .
Dálá ságadoalli tittel 	ii lea 	menddo láivi su mielas .
Guovdageainnu leansmánni Anette Smuk Buljo ii loga iežas persovnnalaččat diehtit ahte amfetamin ja kokain leavvá nuoraidbirrasis , muhto son lohká TV Nordii ahte son 	ii hirpmástuvašii 	jus dat doallá deaivása .
— Váhnemat fertejit gullat dál , eai ge jurddašit ahte dat 	ii guoská 	sin nuoraide , dadjá Hætta .
Boahtteáigi lea fas dat mii 	ii lea 	vel boahtánge ja masa olbmot fertejit heivehit iežaset .
Ruoŧas ja Suomas 	ii lea 	dohkkehuvvon ILO-konvenšuvdna ja dat mielddisbuktá ahte ii leat dan guovtti riika láhkii inkorporerejuvvon dahje ii leat mielde lágas obage , goabbat riikkat galgá álggos politihkalaččat dohkkehit sápmelaččaid .
– Norgga bivdiid ja guolástansearvái 	ii galggašii 	ollege lahttosaji ja jienastanvuoigatvuođa ođđa guollestivrras , dušše hállanvuoigatvuohta , deattuhii Persen .
Dutki oaivvilda ahte olbmot berrejit bivdit várrogasat , muhto son 	ii oaivvilda 	ahte Fylkkamánni berre bissehit oagguma Deanus vaikko lea vuoigatvuohta .
Konsešuvdnaortnet 	ii lea 	vel čielgan ja mearriduvvon
Boazodoalli lea áššáskuhtton addán boasttu boazologu boazodoalloeiseválddiide , ja dan bokte olahan doaibmadoarjaga masa sus lága mielde 	ii livččii 	riekti .
– 	Ii lea 	ulbmil dáinna ruhtademiin dinet , ii oktage dine ruđa go ruhtada teáhtera Norggas .
Porsáŋgulaččat ballet ahte njealját sajiin 	ii beasašii 	sin áirras Sámediggái ja dalle nohká maid sin áŋgiruššan bargat válgalisttuin .
Ohcanáigemearri lea álgoálggus maŋiduvvon miesemánu 15. beaivái , ja álgin lea maŋiduvvon čakčamánu 15. beaivái , muhto 	ii lea 	vejolaš skuvlaálgima rádjái beassat studeantan midjiide , hástala Sámi allaskuvlla Internašunaliseren- ja rekrutterenkonsuleanta Isak Nils Eira .
	Ii galggašii 	septihkkatáŋkkain luoitit duolvačázi johkii , buot galggašii leat čávdáduvvon .
Muđui vigget geavahit guohtuneatnamiid eará doibmii Suomas , nu movt Vuohču vuovdečuohppamat , ahte fertet ovddidit daid áššiid kongreassas , dadjá Magga čilgehussan manin sii lihkká vulget , vaikko 	ii livččii 	eisege ráđđi .
– Diibmá ja mannan jagi lei erenomáš buorre biergofievrrideapmi , nu ahte dát jahki lea dat 	ii lea 	dábálaš dásis .
Porsáŋggus han lea Arja jus dan ballet ahte eai oaččo áirasa Sámediggái , dadjá Gaup Eira ja muittuha ahte Sámediggi 	ii livččii 	boahtán Máze haga .
Diekkár easkaálgi feailla 	ii áiggošii 	Dag Broch dahkat , vaikko son ge Bergeby-vuodjimis gieskat gárttai gaskkalduhttit go beatnagat goikaluvve vánis čáziin .
Ingunn Utsi 	ii lea 	leat árvvoštallan ovttaskas dáidaga dehe ovttaskas dáiddára árvvu sin ávnnasgeavaheami dehe defineremis govvadáiddár dehe dáiddaduojár .
– Dát beaivi 	ii lea 	heivvolaš go lea árgabeaivvi alde vuossárgga eaige olbmot sáhte searvvis bargat go leat bargguiguin .
Ávki vaikke 	ii áiggošii 	fitnodatdoallin
	Ii julošii 	ollus Beaivváš Teáhterii , maid giellabargu geahpeduvvošii ja oahpahus ja oahpponeavvobuvttadeami bargu gillášii go geahpeduvvo .
Museahoavda ii loga iežas dálá dilis oaidnit ákkaid manin dáiddaossodagas 	ii galggašii 	sierra stivra , muhto dat lea politihkkariid duohken mearridit .
Vaikko viellja Olá lea suge oahpahan guolástit , ja maiddái mo luonddus láhttet , de eadni 	ii máhtášii 	gándasis oahpahit nu bures go Olá .
Jus 	ii livččii 	nu ollu logahallan ja vuollánan dalle go galbmaskábes duššo lei goike láibi .
’ 	Ii livččii 	gal soaitán čoavdit maidege dainna , muhto de goit mun livččen ipmirdan su buorebut .
Vaikko son lea 30 jagi Nordlys valáštallanseavvi ovddas bargan , de 	ii láve 	son almmolašvuođas oidnot .
– Lean dego gahččan guovtti stuolu gaskii , go nuorran 	ii lea 	ráđđi oastit go unna fatnasačča ja dál dat adno fas mu vuostá , muitala measta vuollánan Hansen .
– Jus muhtin fitnodat bargá dán soahpamuša ektui ja 	ii badjelgeahččá 	eamiálbmoga , de beaggá dat ja sii ožžot álkibut lobi eamiálbmogiin beassat sin guvlui , lohká Dodson ja lohká dehálaš ahte eamiálbmogat maid tinejit ja dan Forum lea dainna osiin bargamin .
Diekkár lieggasis gal olmmoš ii ceavzze beare guhka suoivvana haga dehe nuvt 	ii lea 	beaivegoarddáhagas .
Sara oaivvildii ahte Kárášjoga Johttisámi Searvvi jođiheaddji Nils Mikkel Somby 	ii lea 	váldán ovddasvástádusa .
Ellen J. Sara Eira mielas 	ii galggašii 	boares oahpponeavvuin dádjut ja dadjá dan leat badjelgeahččanvuohta go Sámediggi juohká sámemánáide boares girjjiid ja rábmojit , ahte leat bures bargan jus eai dasa lassin bargga maid eará .
– Dát 	ii lea 	buorre doarvái .
– Vuolidit inkássodivadiid ii dagat dan ahte olbmuin 	ii lea 	šat geafivuohta , muhto sáhttá veahkehit olbmuid beaivválaš dili , lasiha finánsaministtar Kristine Halvorsen ( SG ) .
Jođiheaddji gii ii máhte leaikkastallat , 	ii berrešii 	leat jođiheaddji dadjet dutkit , čilge Eikjok gii lea láhttu Harstad Allaskuvlla buvttadanfága čaibmanjoavkkus mii lágida konferánssa .
– Ráđđehussii dat 	ii mávssašii 	maidege , muhto CO2 - nuoskideamit gal nogašii , dassážii go čorgenplána gárvána .
Orru leamen nu ahte albma doaimmain 	ii atno 	duhátruvdnosaš šat nu ollu .
Berit Paulsen Norsar dutkaninstituhtas muitala ahte 	ii lea 	registrerejuvvon eanandoarggástus .
Dološ olbmot sávve ahte boares Máhtebeaivvi ovdal ii galggaše eisege bivaldit dahje njázudit , ahte 	ii šattašii 	garra giđđa .
Fuollan lea leamašan , ahte davvin sáddejuvvon reivve 	ii gearggašii 	áiggil ruovttoluotta davás jándora mearreáiggis , juos reivve gárttašii fitnat Oulus Roavvenjárgga sadjái .
Muhto su mielas datte 	ii galggašii 	nu šaddat ahte priváhtaolbmot galget dárbbašit čorget soađeáiggi bázahusaid .
Jus leat ráhkadan ollu sáftta de sáhtát dan bidjat jiekŋudanskábii vai 	ii billahuvvá 	.
Muhto , dihtet go don baicca ahte čuoika 	ii lea 	dego eará divrrit ?
B. jiekŋa mii 	ii suddá 	goassege
Go mus 	ii lea 	várri juhkat bihkkan , de čanan mun liinni čalmmiid ovdii !
– Čáhppes nástegálu dámmáhis galgá namma Bjørkåsa Násti , evttoha Kurt Roger áŋgiris , muhto vuollegis jienain , juo , go rigeret 	ii lea 	lohpi , go ođđa ealli lei šaddan .
Juos gearddi dat beaktileamos bivdu lea geahppánan Vuolle-Deanus ja Deanuvuonas nie sakka 20 jagis nu go Harald Hirsti muitala , ja liikká bohtet heajos luossajagit , de lea čielggas , ahte vaikko mii ráfáiduhtášeimmet ollásit Deanu luosa bivddus Deanuvuonas ja ieš Deanus ja dan oalgejogain , de dat 	ii basttášii 	beastit min luossanáli .
Mearrádus 	ii dárbbaša 	mannat dan guvlui ahte buvdagoalustus mas lea alla biebmokvalitehtadássi , alla haddi ja stahtus válljejuvvo gávppálažžan .
Dán sáhkkoheami dieđusge fertešii Giellabolesdoaimmahat leat jo ovdal šiehtadan media fitnodagain , ahte dát 	ii livččii 	dego dábálaš bággosáhkku maid mii dovdat stuorraservvodagas .
Skuvlla ovddideapmi 	ii galggašii 	báhcit dušše fiinna sániid duohkai , muhto dat galgá rievdadit skuvlla dábiid , sihke organisašuvnna ja pedagogalaš doaimmaid , nu ahte šaddet buoret oahppan- ja gulahallaneavttut .
Danin 	ii galggašii 	Kárášjoga gieldastivra cealkit maidege nuoraid birra nuoraid jietnadeami haga .
Dat 	ii mearkkaša 	ollus munnje ovdal go gullen su dárusteamen vuosttaš geardde go olles bearaš finai luomus Norggas galledeamen su boares skihpáriid .
Muhto dieđusge gávdnojit nuppelágán isidat , nugo ovdamearkka dihtii lohkat Rauni Magga Lukkari girjjis Losses beaivegirji ( 1986:15 ) : “ Go de ledjet muitalan // bođii son // don vuššet gáfe // fállet borrat // de go ieš 	ii máhtášii 	// ollesolmmoš // muhto dutnje // son lea de go mánná // gean bassalat // gárvvohat // biepmat // ja bijat nohkkat // earet // delle go juhká // delle son lea dálu isit // stuoris // ja delle don balat sus ” .
Eai go son dalle boađe eambbosat searvat go 	ii lea 	nu guhkkin eret ?
– Geasset 	ii galggašii 	bahčit go dalle leat ruksesmiesážat mat dárbbašit mielkki , dalle áldu ii atte nu olu mielkki go viggá bahčit .
Dá lea ovdamearka mainnalágiin ii berre mánáidsuodjalus doaibmat sámi mánáid ektui , vaikke muhtumiin dáidá bággu sámi mánáid sirdit ruovttuide gos 	ii lea 	máhttu sámegielas ja kultuvrras .
Mii fertet hupmat dán birra ieža gaskaneaset ja muitalit dan birra mánáide , go rohcošeapmi gal gávdno , muhto dat 	ii galggašii 	dohkkehuvvot .
